commit	train_accuracy	val_accuracy	status	description
ff402a2	0.533333	0.525000	keep	phase=A baseline linear SVM as-is (full-batch, C=1.0, LR=0.05) - diverges/oscillates, ~chance
11791fc	0.939583	0.858333	keep	phase=A linear reference w/ sensible screening LR=0.0005 (C=1.0 fixed) - gate1 pass, best passer so far
44dc663	0.896875	0.795833	discard	phase=A add quadratic interactions of 3 extra features (6 cols) - gate1 pass but val worse (0.796<0.858), overfits
db6fbf7	0.886458	0.829167	discard	phase=A L2-normalize combined rows - gate1 pass but val worse (0.829<0.858), slows convergence
840eb08	0.939583	0.833333	discard	phase=A TF-IDF only (drop 3 extras) - gate1 pass but val worse (0.833<0.858), extras help generalization
8385b77	0.911458	0.841667	discard	phase=B C=0.5 stronger reg - val worse (0.842<0.858), underfits within budget
d6afe0d	0.957292	0.850000	discard	phase=B C=2.0 weaker reg - val worse (0.850<0.858), mild overfit (train up to 0.957); C=1.0 is sweet spot
c3cb0ff	0.937500	0.845833	discard	phase=B LR=0.001 (2x) - val worse (0.846<0.858), oscillates at optimum
3ffe96a	0.940625	0.854167	discard	phase=B LR=0.0003 (lower) - val ~equal but slightly worse (0.854<0.858); 0.0005 best constant LR
d32f931	0.939583	0.858333	discard	phase=B linear LR decay 0.001->0.0001 - val EQUAL (0.858) but adds complexity; simplicity criterion -> revert
2de07ba	0.941667	0.858333	discard	phase=B EMA weight averaging (beta=0.999) - val EQUAL (0.858), convex unique optimum; adds complexity -> revert
dc6f7dc	0.951042	0.854167	discard	phase=B C=1.3 - val worse (0.854<0.858); peak near C=1.0
92a41e4	0.932292	0.858333	discard	phase=B C=0.85 - val EQUAL (0.858, more reg/lower train); tie -> keep incumbent C=1.0
599a729	0.969792	0.845833	discard	phase=B squared-hinge (L2-SVM) loss, C=1.0 - val worse (0.846<0.858), overfits (train 0.970)
2486180	0.870833	0.825000	discard	phase=B mini-batch SGD batch=256 shuffled - val worse (0.825<0.858), noisy updates hurt
80830fe	0.940625	0.854167	discard	phase=B SGD momentum 0.9 - val worse (0.854<0.858), overshoots optimum
2082fa9	0.940625	0.850000	discard	phase=B WARMUP_STEPS=0 - val worse (0.850<0.858), early noisy steps count toward budget
662b02e	0.939583	0.858333	discard	phase=B LR=0.0007 - val EQUAL (0.858); tie -> keep LR=0.0005
eb28077	0.939583	0.858333	keep	phase=B sparse CSR matmul (no dense copy) - val EQUAL, ~1.35M steps, simpler/faster
f4dc811	0.000000	0.854167	discard	phase=B sparse + LR=0.0003 - val worse (0.854<0.858); file corrupted mid-run, reverted
603e8e2	0.933333	0.854167	discard	phase=B sparse + LR=0.0008 - val worse (0.854<0.858), too aggressive for many steps
23ff5c6	0.939583	0.858333	keep	phase=B sparse CSR + LR=0.0005 (current best branch head)
